,business_id,date,stars
6062,K7lWdNUhCbcnEvI0NhGewg,2018/11/14,5
6674,K7lWdNUhCbcnEvI0NhGewg,2018/11/14,5
6237,K7lWdNUhCbcnEvI0NhGewg,2018/11/12,5
6330,K7lWdNUhCbcnEvI0NhGewg,2018/11/12,4
6384,K7lWdNUhCbcnEvI0NhGewg,2018/11/12,5
6870,K7lWdNUhCbcnEvI0NhGewg,2018/11/12,2
5768,K7lWdNUhCbcnEvI0NhGewg,2018/11/11,4
6857,K7lWdNUhCbcnEvI0NhGewg,2018/11/11,4
6598,K7lWdNUhCbcnEvI0NhGewg,2018/11/10,5
6215,K7lWdNUhCbcnEvI0NhGewg,2018/11/9,3
6686,K7lWdNUhCbcnEvI0NhGewg,2018/11/9,4
5812,K7lWdNUhCbcnEvI0NhGewg,2018/11/8,1
6860,K7lWdNUhCbcnEvI0NhGewg,2018/11/8,3
6247,K7lWdNUhCbcnEvI0NhGewg,2018/11/6,4
6311,K7lWdNUhCbcnEvI0NhGewg,2018/11/6,4
5789,K7lWdNUhCbcnEvI0NhGewg,2018/11/5,1
6272,K7lWdNUhCbcnEvI0NhGewg,2018/11/5,1
6522,K7lWdNUhCbcnEvI0NhGewg,2018/11/5,1
6659,K7lWdNUhCbcnEvI0NhGewg,2018/11/5,4
6114,K7lWdNUhCbcnEvI0NhGewg,2018/11/4,4
6554,K7lWdNUhCbcnEvI0NhGewg,2018/11/2,3
5952,K7lWdNUhCbcnEvI0NhGewg,2018/11/1,5
6654,K7lWdNUhCbcnEvI0NhGewg,2018/11/1,5
5860,K7lWdNUhCbcnEvI0NhGewg,2018/10/31,3
6167,K7lWdNUhCbcnEvI0NhGewg,2018/10/31,5
5892,K7lWdNUhCbcnEvI0NhGewg,2018/10/30,5
5893,K7lWdNUhCbcnEvI0NhGewg,2018/10/30,5
5904,K7lWdNUhCbcnEvI0NhGewg,2018/10/30,5
6329,K7lWdNUhCbcnEvI0NhGewg,2018/10/29,4
6360,K7lWdNUhCbcnEvI0NhGewg,2018/10/29,4
5827,K7lWdNUhCbcnEvI0NhGewg,2018/10/28,2
6381,K7lWdNUhCbcnEvI0NhGewg,2018/10/28,5
6687,K7lWdNUhCbcnEvI0NhGewg,2018/10/28,1
5938,K7lWdNUhCbcnEvI0NhGewg,2018/10/27,4
6052,K7lWdNUhCbcnEvI0NhGewg,2018/10/27,4
6147,K7lWdNUhCbcnEvI0NhGewg,2018/10/27,4
6246,K7lWdNUhCbcnEvI0NhGewg,2018/10/27,4
6552,K7lWdNUhCbcnEvI0NhGewg,2018/10/25,4
5906,K7lWdNUhCbcnEvI0NhGewg,2018/10/24,3
6708,K7lWdNUhCbcnEvI0NhGewg,2018/10/24,5
6869,K7lWdNUhCbcnEvI0NhGewg,2018/10/22,4
6747,K7lWdNUhCbcnEvI0NhGewg,2018/10/21,4
6821,K7lWdNUhCbcnEvI0NhGewg,2018/10/21,4
5937,K7lWdNUhCbcnEvI0NhGewg,2018/10/18,5
6085,K7lWdNUhCbcnEvI0NhGewg,2018/10/18,4
6285,K7lWdNUhCbcnEvI0NhGewg,2018/10/18,4
6007,K7lWdNUhCbcnEvI0NhGewg,2018/10/17,5
6123,K7lWdNUhCbcnEvI0NhGewg,2018/10/17,5
5891,K7lWdNUhCbcnEvI0NhGewg,2018/10/16,4
6323,K7lWdNUhCbcnEvI0NhGewg,2018/10/15,5
6364,K7lWdNUhCbcnEvI0NhGewg,2018/10/15,5
6455,K7lWdNUhCbcnEvI0NhGewg,2018/10/15,3
6061,K7lWdNUhCbcnEvI0NhGewg,2018/10/14,4
6636,K7lWdNUhCbcnEvI0NhGewg,2018/10/14,4
6191,K7lWdNUhCbcnEvI0NhGewg,2018/10/13,5
6619,K7lWdNUhCbcnEvI0NhGewg,2018/10/13,5
5746,K7lWdNUhCbcnEvI0NhGewg,2018/10/11,1
6179,K7lWdNUhCbcnEvI0NhGewg,2018/10/11,2
6727,K7lWdNUhCbcnEvI0NhGewg,2018/10/11,5
6864,K7lWdNUhCbcnEvI0NhGewg,2018/10/11,5
6206,K7lWdNUhCbcnEvI0NhGewg,2018/10/10,3
6516,K7lWdNUhCbcnEvI0NhGewg,2018/10/10,3
6877,K7lWdNUhCbcnEvI0NhGewg,2018/10/10,4
6712,K7lWdNUhCbcnEvI0NhGewg,2018/10/9,4
5762,K7lWdNUhCbcnEvI0NhGewg,2018/10/6,5
6276,K7lWdNUhCbcnEvI0NhGewg,2018/10/6,5
5846,K7lWdNUhCbcnEvI0NhGewg,2018/10/5,5
6363,K7lWdNUhCbcnEvI0NhGewg,2018/10/5,4
6553,K7lWdNUhCbcnEvI0NhGewg,2018/10/5,4
6399,K7lWdNUhCbcnEvI0NhGewg,2018/10/4,1
