,ngram,weight
745,minute wait ,-0.03529537519678536
90, highly recommend,-0.028935017733908646
1534, disappointing ,-0.028085542190515303
372,planet hollywood ,-0.025656137369931695
76, delicious ,-0.023495572350126386
1908,paris hotel ,-0.02300185511671626
1396,last night ,-0.022242161092463106
701,vegas buffet ,-0.02224061197367123
1356, croque madame,-0.02181410982714116
357,mac n cheese,-0.020666765788577436
1641, many options,-0.02063282004985738
725,house go go,-0.02016313618073173
2249,looked good ,-0.02013548792210577
1676,still good ,-0.01989902325536306
2138,star rating ,-0.01972687526259447
101,hot chocolate ,-0.01971805321850062
2701, stars food,-0.019284825561892174
34,delicious  ,-0.01873759849694645
296,per person ,-0.018357779340257074
1381,shrimp grits ,-0.018323894127507165
2481,made us feel,-0.01749283901584633
747, hell kitchen,-0.017483331649789362
1531, definitely return,-0.016735585846467893
3103, incredible ,-0.016662323499731162
1649,favorite buffet vegas,-0.01656964104495689
3394,ll definitely back,-0.01648978915313954
959,absolutely delicious ,-0.01630304803669898
2799, nice touch,-0.016212166302758343
3627, blue cheese,-0.016091490818305784
731,onion rings ,-0.01588813354639726
1403,buffet ever ,-0.015851809222271286
630,back next time,-0.01569319507664031
781,  boyfriend,-0.01568185518906448
47,frozen hot chocolate,-0.01548578564593308
4016, saturday night,-0.014997697017673395
2445,great buffet ,-0.014789265777231858
4757,place huge ,-0.014711656761375768
487,  seriously,-0.014668010817773162
665, truffle fries,-0.014622000685296059
7954,wanting try place,-0.014593341206169138
1018,seated right away,-0.014530930692126858
3362,never stay ,-0.01451480216968319
2496, high quality,-0.014188418654820949
687,portions huge ,-0.014180897059937745
4864,fries onion rings,-0.014158615792228645
2766,bottomless mimosas ,-0.014083639047954491
3716, champagne ,-0.013884564027330721
6025, unlimited mimosas,-0.013820538360891184
1731,hotel vegas ,-0.013624569719487865
2164,love love love,-0.0135880977937466
3912,food fresh ,-0.013557136375681829
482,chocolate covered strawberries,-0.013553683229207355
2523,buffet food ,-0.013526372161631278
391,first time ,-0.013391588772439173
1482, corned beef,-0.013276440354189449
6133,amazing  best,-0.013125545750058695
2202,friendly attentive ,-0.013123198314183659
2768,recommended  ,-0.013007595690224692
3096,hands best buffet,-0.012930023313546042
3693,couple times ,-0.012806222941417991
2308,  elevators,-0.012775896162291774
1753,service  food,-0.012697704198960505
2280,customers  ,-0.012645823804717257
2005,food court ,-0.012537608545034575
3974, place huge,-0.012516799832878213
738, sweet potato,-0.012464052509550464
441,eggs benedict ,-0.012330117964098235
5190, expected much,-0.012325225188719332
396, food great,-0.012287124651271054
3318,wait wasn bad,-0.012208915345848951
2428,afternoon  ,-0.012142179302185521
2293, wasn impressed,-0.01201097596863669
5335,roasted beef ,-0.011904568638729643
1714,buffets strip ,-0.011884407628997262
1400, great view,-0.011857321595858988
728, best buffet,-0.011769313673747901
3084,like buffets ,-0.011691265384318486
2273, bacchanal ,-0.011681262061317607
4292,perfect medium rare,-0.011668771580832708
5201, friday night,-0.011662916481014125
2001,service impeccable ,-0.011661564698570472
3341, service food,-0.011574829807079651
2797,baggage claim ,-0.011558806369569963
588,sandwiches  ,-0.011507202630287004
8421,somewhere  ,-0.01148305861089674
2169,yelp reviews ,-0.01141535977999599
2781,reasonable price ,-0.011350852243845693
367,chocolate  ,-0.01127750045016579
3048,good great ,-0.011250550116569535
1793,something else ,-0.011195365676520543
4060,enough share ,-0.011175117908860594
714,hash house go,-0.011164531361061568
3333,cooked well ,-0.01111243545100016
3175,comfort food ,-0.011086578948722246
4643,four stars ,-0.01100196009476719
281,great service ,-0.01097672539338919
2697,bloody mary bar,-0.010954542638669313
4504, street tacos,-0.010878896389885205
5408, definitely better,-0.010826196347579186
6519,room available ,-0.010794358663483264
6512, wagyu beef,-0.010627462335420574
5129,stayed vegas ,-0.010612104441629638
2595, deep fried,-0.010598635712936857
756, resort fee,-0.010594052618932872
2982,efficient  ,-0.010505448841386602
2857, give place,-0.01049924176554864
7674,room amazing ,-0.010493483229282627
2477, night stay,-0.010486838567061733
3774,stay anywhere else,-0.01045280792237821
555,food delicious ,-0.010244856785610294
4006,excited try place,-0.010159242257123122
2178, good selection,-0.01015662619133948
7301,asian cuisine ,-0.01013818606946905
6578,nothing fancy ,-0.01011134852679817
248,  delicious,-0.010065001156097063
1979,phenomenal  ,-0.010035945944096687
10734,  challenge,-0.010018285132285903
18411,also ordered ,-0.010007488996155046
7677,clean comfortable ,-0.010004267995838754
4283, staff super,-0.00997730368845739
8177, ordered side,-0.009971734274878711
6412,better buffets ,-0.009945785838806964
4297, casino nice,-0.009860197009522485
1617,overall  great,-0.009841802884752976
8132,sure make reservation,-0.009835268770211257
671, definitely go,-0.00981304244657887
3024,didn disappoint ,-0.009793795556064647
857, re looking,-0.00979304995635968
711,kitchen burger ,-0.009780924898376318
7466,gelato ice cream,-0.009747721552507213
3079,taste buds ,-0.009740603309294925
3223,highlights  ,-0.009729259783667784
695,serendipity  ,-0.009726211626014804
5115,fountain view ,-0.009722180050590024
5660, minutes check,-0.009699591112572709
3270,  attentive,-0.009691819635459696
1625,first time vegas,-0.009684264159040194
14968,favorite dishes ,-0.00965257822306423
16171, ordered breakfast,-0.00965257822306423
17016, seated table,-0.00956424788959641
2882,exceptional  ,-0.009497195006471294
15917, breakfast potatoes,-0.009496726656587783
5810, great price,-0.009471244260159162
2132,something everyone ,-0.009440443324022918
1905,nothing write home,-0.009422460909398748
2804, lazy river,-0.009414825900866251
5782,fish chips ,-0.009388673825979172
5983, poker room,-0.00936583433036713
11316,chicken waffles amazing,-0.00936336431664858
6291, soft shell,-0.009358625555837718
9331,goat cheese salad,-0.009356305712583115
1313,highly recommend ,-0.009345671551485765
1447,every time go,-0.009343677982018727
1370,hotel strip ,-0.009324284413067171
7950,ambiance great ,-0.009322851438043433
4624, presentation food,-0.009308977480987125
1852,write home ,-0.009263046326800771
4338,good reason ,-0.009254996292517992
9911,facing strip ,-0.009245802833098449
16109, depending time,-0.009245226637264431
10958, maybe dinner,-0.009244699826885486
6876, hotel huge,-0.009236250472827676
5358, asked waiter,-0.009227328901025332
1893, fried rice,-0.009209182810277147
3236,experience ever ,-0.009200727626140425
15866,ranch dressing ,-0.009193871312526419
3337,unlimited mimosas ,-0.00915489023595466
4288,duck curry ,-0.009151095339561016
3090,place  food,-0.009136470954704167
11712,wait  worth,-0.009132113640220136
9513, italian station,-0.009123543674713614
668,worth every penny,-0.009057150970472104
1228,minutes later ,-0.009054206816076504
3002,gelato bar ,-0.009040189538835652
2032, food fresh,-0.009020322445926252
8065,even though didn,-0.009007151617618642
2015,make sure get,-0.008993194941688758
1726,asian food ,-0.0089827757916577
6528, usually eat,-0.008957234658506268
5450,mgm grand hotel,-0.008956661827428165
3140, went breakfast,-0.00892457445640418
3768,dinner menu ,-0.008923868701066656
1422, husband ordered,-0.00891904739238684
5027,vegas  went,-0.008918464163630213
9123,line wasn bad,-0.008898822013032496
2902,lunch  dinner,-0.008883598565253387
7283, especially liked,-0.008882739898796852
11077,food around ,-0.008872573109374497
939,one best buffets,-0.008854995020423976
9387,wait get seated,-0.008846825628688474
18253,  ridiculously,-0.008823738682158805
4084,breakfast food ,-0.008805469441022106
17501,night early morning,-0.00877269859030586
9254,separate shower ,-0.008765768391858842
7110,attentive  food,-0.00876572723845315
15276,one gordon ramsay,-0.008764963634440905
12905, really felt,-0.00872718255603259
16133,started eating ,-0.008705578294949026
2291,overrated  ,-0.008688569439632815
7640, th anniversary,-0.008680992041094106
9438,tasted really good,-0.00866574931000373
3157,parking lot ,-0.008658249608458611
5255,places strip ,-0.008619064385912681
9030,service awful ,-0.008615153063850071
4538,cheese burger ,-0.008595307096854684
